"Cluster","GO Term","GO Name","FDR","Enrichment Score","SSX","SSY","Genes..."
"0","GO:0036124","histone H3-K9 trimethylation","0.03855529","8.050532000000025","-0.319","0.698","SUV39H1 SUV39H2 BEND3"
"0","GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","0.03855529","8.050532000000025","-0.1","0.759","CTPS1 CAD CTPS2"
"0","GO:0046132","pyrimidine ribonucleoside biosynthetic process","0.008908931","8.050532000000025","-0.138","0.761","UMPS CTPS1 CAD CTPS2"
"0","GO:0002143","tRNA wobble position uridine thiolation","0.008908931","8.050532000000025","-0.072","0.72","TRMU MOCS3 CTU2 CTU1"
"0","GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process","0.008908931","8.050532000000025","-0.214","0.671","AK3 CTPS1 CAD CTPS2"
"0","GO:0048873","homeostasis of number of cells within a tissue","0.03855529","8.050532000000025","-0.014","-0.59","F2R SOX9 NOS3"
"0","GO:0071038","nuclear polyadenylation-dependent tRNA catabolic process","0.02698978","6.4404250000000145","0.01","0.746","EXOSC2 EXOSC3 EXOSC7 EXOSC8"
"0","GO:0034227","tRNA thio-modification","0.02698978","6.4404250000000145","-0.091","0.692","TRMU MOCS3 CTU2 CTU1"
"0","GO:0060713","labyrinthine layer morphogenesis","0.02698978","6.4404250000000145","-0.614","-0.462","BMP7 LEF1 WNT7B FGFR2"
"0","GO:0034475","U4 snRNA 3'-end processing","0.004096047","6.0378990000000226","-0.109","0.697","EXOSC2 EXOSC3 EXOSC5 EXOSC7 EXOSC8 EXOSC4"
"0","GO:0016078","tRNA catabolic process","0.01538795","5.750379999999976","-0.015","0.729","EXOSC2 EXOSC3 EXOSC7 EXOSC8 POP1"
"0","GO:0008298","intracellular mRNA localization","0.01527165","4.830318999999979","-0.112","-0.733","BICD1 EXOSC2 PCID2 EXOSC3 A1CF MEX3D"
"0","GO:0003094","glomerular filtration","0.01527165","4.830318999999979","-0.341","-0.589","IGHA1 SULF1 XPNPEP3 IGKV3-20 JCHAIN IGHA2"
"0","GO:0031125","rRNA 3'-end processing","0.04555777","4.472517999999982","-0.088","0.708","EXOSC2 EXOSC3 EXOSC7 EXOSC8 RPS21"
"0","GO:0009218","pyrimidine ribonucleotide metabolic process","0.04555777","4.472517999999982","-0.221","0.693","UMPS AK3 CTPS1 CAD CTPS2"
"0","GO:0060900","embryonic camera-type eye formation","0.04555777","4.472517999999982","-0.595","-0.491","PROX1 STRA6 TWIST1 WNT5A TFAP2A"
"0","GO:0042455","ribonucleoside biosynthetic process","0.02516305","4.391198999999988","-0.174","0.738","UMPS ADA IMPDH1 CTPS1 CAD CTPS2"
"0","GO:0097205","renal filtration","0.02516305","4.391198999999988","-0.34","-0.56","IGHA1 SULF1 XPNPEP3 IGKV3-20 IGHA2 JCHAIN"
"0","GO:0031126","snoRNA 3'-end processing","0.02516305","4.391198999999988","-0.111","0.689","EXOSC2 DKC1 FBL EXOSC3 EXOSC5 EXOSC4"
"0","GO:0046131","pyrimidine ribonucleoside metabolic process","0.02516305","4.391198999999988","-0.22","0.671","UMPS AK3 CTPS1 CAD CTPS2 APOBEC3C"
"0","GO:0002067","glandular epithelial cell differentiation","0.01280486","4.33490200000002","-0.608","-0.064","FGFR2 BMP2 BMP4 NEUROD1 INSM1 PDX1 RFX6"
"0","GO:0006271","DNA strand elongation involved in DNA replication","0.003400366","4.26204599999998","-0.059","0.707","RFC4 PCNA POLA1 RFC3 GINS2 GINS4 RNASEH2A RNASEH1 POLD2"
"0","GO:0001522","pseudouridine synthesis","0.03642132","4.025265999999993","-0.149","0.659","DKC1 PUS7 NHP2 PUSL1 PUS1 RPUSD2"
"0","GO:0071027","nuclear RNA surveillance","0.01963464","4.025265999999993","-0.02","0.723","EXOSC2 PCID2 EXOSC3 EXOSC5 EXOSC4 EXOSC8 EXOSC7"
"0","GO:0007530","sex determination","0.03642132","4.025265999999993","-0.393","-0.503","AMH SOX9 SIX4 WT1 TCF21 CITED2"
"0","GO:0009112","nucleobase metabolic process","0.001321546","4.025265999999993","-0.211","0.638","ALDH6A1 MTHFD1L ADA XDH GDA CTPS2 CAD TTR CTPS1 GART PRPS1"
"0","GO:0046112","nucleobase biosynthetic process","0.01963464","4.025265999999993","-0.197","0.688","MTHFD1L ADA CTPS1 CAD CTPS2 PRPS1 GART"
"0","GO:0030199","collagen fibril organization","0.00007592555","3.903288000000002","-0.628","0.205","COL12A1 COL1A1 GREM1 COL1A2 COL3A1 COL5A1 LOXL2 COL5A2 COL5A3 SERPINH1 COL2A1 LOXL3 LUM SCX PLOD2 PLOD3"
"0","GO:0000460","maturation of 5.8S rRNA","0.00100418","3.864255000000011","-0.093","0.697","EXOSC2 PES1 URB1 RRS1 LAS1L EXOSC3 EXOSC4 EXOSC8 RPS21 EXOSC7 WDR12 C1D"
"0","GO:0006635","fatty acid beta-oxidation","4.896309e-7","3.864255000000011","-0.4","0.631","ABCD3 ACAA1 SCP2 ACAT1 ACOX1 ECHS1 ETFDH HADH HIBCH SLC27A2 ACAA2 BDH2 CPT2 DECR1 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 ACADVL"
"0","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","0.008068191","3.813410000000014","-0.088","0.701","EXOSC2 PES1 URB1 RRS1 EXOSC8 RPS21 EXOSC7 EXOSC3 WDR12"
"0","GO:0048333","mesodermal cell differentiation","0.02875092","3.7569150000000144","-0.677","-0.145","HOXA11 EYA2 KLF4 BMP4 ITGA8 SIX2 ITGA2"
"0","GO:0071025","RNA surveillance","0.02875092","3.7569150000000144","-0.024","0.72","EXOSC2 PCID2 EXOSC5 EXOSC7 EXOSC8 EXOSC4 EXOSC3"
"0","GO:0006144","purine nucleobase metabolic process","0.02875092","3.7569150000000144","-0.213","0.647","MTHFD1L ADA XDH GDA PRPS1 TTR GART"
