miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT002091,ath-miR398c-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002092,ath-miR398b-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002093,ath-miR398c-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002094,ath-miR398b-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002095,ath-miR398a-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002095,ath-miR398a-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Microarray//qRT-PCR//Western blot,Functional MTI,20128885
MIRT002096,ath-miR398a-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002096,ath-miR398a-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Microarray//qRT-PCR//Western blot,Functional MTI,20128885
MIRT003017,ath-miR157a-5p,Arabidopsis thaliana,SPL3,817948,Arabidopsis thaliana,GFP reporter assay,Functional MTI,17217458
MIRT003018,ath-miR156a-5p,Arabidopsis thaliana,SPL3,817948,Arabidopsis thaliana,GFP reporter assay,Functional MTI,17217458
MIRT005636,ath-miR172b-3p,Arabidopsis thaliana,AP2,829845,Arabidopsis thaliana,In situ hybridization//Western blot,Functional MTI,12893888
MIRT054039,ath-miR156a-5p,Arabidopsis thaliana,SPL15,824961,Arabidopsis thaliana,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26841873
MIRT438731,ath-miR159a,Arabidopsis thaliana,MYB33,830497,Arabidopsis thaliana,Degradome sequencing//GUS reporter assay//qRT-PCR,Functional MTI,24626050
MIRT733524,ath-miR163,Arabidopsis thaliana,PXMT1,842988,Arabidopsis thaliana,Chromatin immunoprecipitation//Cleaved amplified polymorphic sequences//qRT-PCR//Western blot,Functional MTI,28167951
MIRT733525,ath-miR163,Arabidopsis thaliana,FAMT,823620,Arabidopsis thaliana,Chromatin immunoprecipitation//Cleaved amplified polymorphic sequences//qRT-PCR//Western blot,Functional MTI,28167951
MIRT437899,bmo-miR-281-3p,Bombyx mori,EcR,692756,Bombyx mori,Luciferase reporter assay,Functional MTI,23707601
MIRT003552,bmo-miR-7-5p,Bombyx mori,Fib-l,693047,Bombyx mori,GUS reporter assay,Functional MTI,18977439
MIRT003553,bmo-miR-33-5p,Bombyx mori,Fib-l,693047,Bombyx mori,GUS reporter assay,Functional MTI,18977439
MIRT735164,bmo-miR-2a-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735165,bmo-miR-2b-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735167,bmo-miR-13a-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735168,bmo-miR-13b-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT733027,bmo-miR-278-3p,Bombyx mori,IBP2,100846979,Bombyx mori,Luciferase reporter assay//qRT-PCR,Functional MTI,26348138
MIRT007159,bta-miR-17-5p,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007160,bta-miR-20b,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23221399
MIRT053091,bta-miR-27b,Bos taurus,MSTN,281187,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23510267
MIRT054326,bta-miR-15a,Bos taurus,GHR,280805,Bos taurus,qRT-PCR//Western blot,Non-Functional MTI,23085654
MIRT054358,bta-miR-155,Bos taurus,DET1,541005,Bos taurus,Flow cytometry//Immunofluorescence//Immunoprecipitation//Luciferase reporter assay//Microarray//QRTPCR//Western blot,Functional MTI,23637592
MIRT054377,bta-miR-154a,Bos taurus,TNP2,281538,Bos taurus,Luciferase reporter assay//qRT-PCR,Functional MTI,24416221
MIRT054378,bta-miR-223,Bos taurus,HMGB1,282691,Bos taurus,Luciferase reporter assay,Functional MTI,22875364
MIRT732346,bta-miR-1,Bos taurus,HDAC4,517559,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT732347,bta-miR-206,Bos taurus,HDAC4,517559,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT732348,bta-miR-1,Bos taurus,LOC536229,536229,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT733134,bta-miR-23a,Bos taurus,ZNF423,508025,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28255176
MIRT733160,bta-miR-26b,Bos taurus,PTEN,540786,Bos taurus,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26503952
MIRT734560,bta-miR-206,Bos taurus,LOC536229,536229,Bos taurus,Luciferase reporter assay,Functional MTI,26424132
MIRT734935,bta-miR-29a,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734936,bta-miR-29b,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734937,bta-miR-29c,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734939,bta-miR-29a,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734940,bta-miR-29b,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734941,bta-miR-29c,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT735254,bta-miR-26a,Bos taurus,PCK1,282855,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26725319
MIRT735507,bta-miR-128,Bos taurus,SP1,540741,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26833195
MIRT735528,bta-miR-378,Bos taurus,INCENP,507693,Bos taurus,Luciferase reporter assay,Functional MTI,27669152
MIRT001143,cel-lsy-6-3p,Caenorhabditis elegans,T04C9.2,188054,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001144,cel-lsy-6-3p,Caenorhabditis elegans,C27H6.3,179389,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001145,cel-lsy-6-3p,Caenorhabditis elegans,T05C12.8,188124,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001146,cel-lsy-6-3p,Caenorhabditis elegans,T23E1.1,188794,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001148,cel-lsy-6-3p,Caenorhabditis elegans,glb-1,176261,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001149,cel-lsy-6-3p,Caenorhabditis elegans,fkh-8,174026,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001151,cel-lsy-6-3p,Caenorhabditis elegans,acl-5,181241,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001153,cel-lsy-6-3p,Caenorhabditis elegans,aex-4,188509,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001154,cel-lsy-6-3p,Caenorhabditis elegans,hlh-8,181069,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,Reporter assay,Functional MTI,18463285
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,GFP reporter assay,Functional MTI,16921378
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,Reporter assay,Functional MTI,14685240
MIRT001906,cel-miR-84-5p,Caenorhabditis elegans,let-60,178104,Caenorhabditis elegans,GFP reporter assay,Functional MTI,15766527
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,Immunofluorescence//LacZ reporter assay,Functional MTI,8252622
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,qRT-PCR//Western blot//Northern blot,Functional MTI,19155321
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,Next Generation Sequencing (NGS)//Western blot,Functional MTI,22855835
MIRT001908,cel-let-7-5p,Caenorhabditis elegans,pha-4,180357,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001909,cel-let-7-5p,Caenorhabditis elegans,daf-12,181263,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001910,cel-let-7-5p,Caenorhabditis elegans,die-1,174569,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001912,cel-let-7-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,10706289
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay//Reporter assay;Other,Functional MTI,10706289
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,LacZ reporter assay,Functional MTI,14729570
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay,Functional MTI,10882102
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay,Functional MTI,23599497
