"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"92901","5","mRNA-miRNA","-0.852155661005188","MAP2K4","DOWN","false","0","MAP2K4","mRNA"
"92902","0","mRNA-miRNA","1.80229349036984","MPP3","UP","false","0","MPP3","mRNA"
"92903","1","mRNA-miRNA","1.63128642822538","DUSP10","UP","false","0","DUSP10","mRNA"
"92904","14","mRNA-miRNA","1.3828621301992","RAN","UP","false","0","RAN","mRNA"
"92905","11","mRNA-miRNA","1.26476725806933","CDC6","UP","false","0","CDC6","mRNA"
"92906","5","mRNA-miRNA","-1.2719977010752","BTG1","DOWN","false","0","BTG1","mRNA"
"92907","6","mRNA-miRNA","1.89763892170675","PRMT1","UP","false","0","PRMT1","mRNA"
"92908","13","mRNA-miRNA","1.54195438474309","FANCA","UP","false","2","FANCA","mRNA"
"92909","3","mRNA-miRNA","-1.64541913638736","RAB27A","DOWN","false","0","RAB27A","mRNA"
"92910","3","mRNA-miRNA","-1.2373380211199","GNA13","DOWN","false","0","GNA13","mRNA"
"92911","3","mRNA-miRNA","4.627528312772","TRIB3","UP","false","0","TRIB3","mRNA"
"92912","16","mRNA-miRNA","1.87884502056123","CCNE1","UP","false","0","CCNE1","mRNA"
"92913","0","mRNA-miRNA","1.8110499501874","UBXN11","UP","false","0","UBXN11","mRNA"
"92914","76","mRNA-miRNA","1.94205292255609","ECT2","UP","false","0","ECT2","mRNA"
"92915","33","mRNA-miRNA","-0.923555932920613","SMAD4","DOWN","false","0","SMAD4","mRNA"
"92916","8","mRNA-miRNA","1.7789779867272","MCM10","UP","false","0","MCM10","mRNA"
"92917","1","mRNA-miRNA","-1.10887513370993","CCNK","DOWN","false","0","CCNK","mRNA"
"92918","1","mRNA-miRNA","1.37110734011669","MSC","UP","false","0","MSC","mRNA"
"92919","6","mRNA-miRNA","1.7277394831916","NEK6","UP","false","0","NEK6","mRNA"
"92920","4","mRNA-miRNA","1.84416338288068","CCDC85B","UP","false","0","CCDC85B","mRNA"
"92921","15","mRNA-miRNA","2.3671923026354","TRIP13","UP","false","3","TRIP13","mRNA"
"92922","1","mRNA-miRNA","-2.19472777100519","GPRIN2","DOWN","false","0","GPRIN2","mRNA"
"92923","4","mRNA-miRNA","3.97529038898095","MDFI","UP","false","0","MDFI","mRNA"
"92924","0","mRNA-miRNA","3.20371689882262","VSNL1","UP","false","0","VSNL1","mRNA"
"92925","7","mRNA-miRNA","-1.39855759935733","DAZAP2","DOWN","false","1","DAZAP2","mRNA"
"92926","7","mRNA-miRNA","1.42190817896013","PLOD3","UP","false","0","PLOD3","mRNA"
"92927",,"mRNA-miRNA","-4.18175042952741","KHDRBS2","DOWN","false",,"KHDRBS2","mRNA"
"92928","1","mRNA-miRNA","-1.20747107739479","RTN3","DOWN","false","0","RTN3","mRNA"
"92929","54","mRNA-miRNA","1.79951806244425","FASN","UP","false","0","FASN","mRNA"
"92930","2","mRNA-miRNA","-4.73210039485741","CNTFR","DOWN","false","0","CNTFR","mRNA"
"92931","2","mRNA-miRNA","-1.46376142743604","GRAP2","DOWN","false","0","GRAP2","mRNA"
"92932","6","mRNA-miRNA","1.39150045243725","DACH1","UP","false","0","DACH1","mRNA"
"92933","0","mRNA-miRNA","-1.00891733854052","NDUFB1","DOWN","false","0","NDUFB1","mRNA"
"92934","26","mRNA-miRNA","0.980941982733631","TRIM27","UP","false","1","TRIM27","mRNA"
"92935","0","mRNA-miRNA","-4.61435294496672","C2orf88","DOWN","false","0","C2orf88","mRNA"
"92936","1","mRNA-miRNA","1.03148238998334","NUDCD3","UP","false","0","NUDCD3","mRNA"
"92937","13","mRNA-miRNA","4.11042406760922","TRIM29","UP","false","1","TRIM29","mRNA"
"92938","1","mRNA-miRNA","-1.079384122997","ZCCHC10","DOWN","false","0","ZCCHC10","mRNA"
"92939","85","mRNA-miRNA","-2.27045976171144","CDKN1A","DOWN","false","0","CDKN1A","mRNA"
"92940","2","mRNA-miRNA","-4.45461633909216","TEX11","DOWN","false","0","TEX11","mRNA"
"92941","3","mRNA-miRNA","-3.34843294804451","SLC1A1","DOWN","false","0","SLC1A1","mRNA"
"92942","6","mRNA-miRNA","1.82688642294282","TRIP6","UP","false","0","TRIP6","mRNA"
"92943","0","mRNA-miRNA","-2.240008005002","FAM107A","DOWN","false","0","FAM107A","mRNA"
"92944","1","mRNA-miRNA","-0.600938655039402","VTA1","DOWN","false","0","VTA1","mRNA"
"92945","6","mRNA-miRNA","6.64237554425495","SPP1","UP","false","0","SPP1","mRNA"
"92946","56","mRNA-miRNA","1.35292063780592","CDK4","UP","false","0","CDK4","mRNA"
"92947","2","mRNA-miRNA","-1.80670593075275","CALCOCO2","DOWN","false","0","CALCOCO2","mRNA"
"92948","3","mRNA-miRNA","1.97803504485714","GNL3L","UP","false","0","GNL3L","mRNA"
"92949","0","mRNA-miRNA","-6.48315399821352","CD177","DOWN","false","0","CD177","mRNA"
"92950","10","mRNA-miRNA","-1.80552737329466","IKZF3","DOWN","false","0","IKZF3","mRNA"
"92951","15","mRNA-miRNA","0.993319918350039","ACTL6A","UP","false","0","ACTL6A","mRNA"
"92952","2","mRNA-miRNA","1.04136936960366","ENKD1","UP","false","0","ENKD1","mRNA"
"92953","1","mRNA-miRNA","-2.14573181586791","RXRG","DOWN","false","0","RXRG","mRNA"
"92954","7","mRNA-miRNA","2.18799723092143","TEAD4","UP","false","0","TEAD4","mRNA"
"92955","14","mRNA-miRNA","-0.893017530346233","TNIP1","DOWN","false","0","TNIP1","mRNA"
"92956","1","mRNA-miRNA","-1.69411267014475","PLSCR4","DOWN","false","0","PLSCR4","mRNA"
"92957","0","mRNA-miRNA","1.65982322713152","RCN3","UP","false","0","RCN3","mRNA"
"92958","0","mRNA-miRNA","2.25211506342912","PITX1","UP","false","0","PITX1","mRNA"
"92959","5","mRNA-miRNA","-4.78640824323432","USP2","DOWN","false","0","USP2","mRNA"
"92960","1","mRNA-miRNA","1.14095840407209","PRPS1","UP","false","0","PRPS1","mRNA"
"92961",,"mRNA-miRNA","-0.995471404178637","GPBP1L1","DOWN","false",,"GPBP1L1","mRNA"
"92962","3","mRNA-miRNA","0.74200575390852","PRPF3","UP","false","0","PRPF3","mRNA"
"92963","4","mRNA-miRNA","1.61976430060363","CKS2","UP","false","1","CKS2","mRNA"
"92964","18","mRNA-miRNA","1.15083039635625","MCM5","UP","false","0","MCM5","mRNA"
"92965",,"mRNA-miRNA","1.76678724060922","KHDRBS3","UP","false","0","KHDRBS3","mRNA"
"92966",,"mRNA-miRNA","1.91439458277756","RAD54B","UP","false","0","RAD54B","mRNA"
"92967","0","mRNA-miRNA","1.43621732955729","MID1IP1","UP","false","0","MID1IP1","mRNA"
"92968","11","mRNA-miRNA","-2.88612451672364","EYA2","DOWN","false","0","EYA2","mRNA"
"92969","2","mRNA-miRNA","-1.52888059408599","TSPAN3","DOWN","false","0","TSPAN3","mRNA"
"92970","1","mRNA-miRNA","0.874547417645465","OTULIN","UP","false","0","OTULIN","mRNA"
"92971",,"mRNA-miRNA","1.38378960565913","NTNG2","UP","false","0","NTNG2","mRNA"
"92972",,"mRNA-miRNA","-0.898276396260985","MIEF2","DOWN","false","0","MIEF2","mRNA"
"92973","4","mRNA-miRNA","1.73180582879456","NAA10","UP","false","0","NAA10","mRNA"
"92974","0","mRNA-miRNA","-2.51882218076278","NEU4","DOWN","false","0","NEU4","mRNA"
